nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
1,0.0,0.0,x,7,1.56,1.56,x,2,3,5
6,1.25,3.25,x,4,0.745,2.745,t2,3,2,4
7,1.5,5.5,x,1,0.18,4.18,t1,4,1,3
8,1.75,7.75,t1,4,0.975,6.975,x,5,8,2
5,1.0,9.0,x,2,0.45,8.45,x,6,7,1
1,0.0,10.0,x,1,0.11,10.11,x,7,6,8
4,0.75,12.75,x,4,0.7,12.7,x,8,5,7
8,1.75,15.75,x,3,0.645,14.645,x,1,4,6
6,1.25,17.25,x,1,0.055,16.055,x,2,3,5
6,1.25,19.25,x,3,0.705,18.705,c,3,2,4
2,0.25,20.25,x,8,1.82,21.82,x,4,1,3
3,0.5,22.5,x,6,1.27,23.27,x,5,8,2
8,1.75,25.75,x,5,1.11,25.11,x,6,7,1
1,0.0,26.0,x,3,0.6,26.6,x,7,6,8
8,1.75,29.75,c,6,1.355,29.355,x,8,5,7
1,0.0,30.0,c,7,1.41,31.41,x,1,4,6
1,0.0,32.0,x,3,0.53,32.53,t1,2,3,5
6,1.25,35.25,x,2,0.29,34.29,t1,3,2,4
8,1.75,37.75,x,2,0.34,36.34,x,4,1,3
5,1.0,39.0,c,5,1.11,39.11,c,5,8,2
5,1.0,41.0,x,5,1.195,41.195,x,6,7,1
3,0.5,42.5,x,3,0.64,42.64,x,7,6,8
1,0.0,44.0,x,8,1.775,45.775,c,8,5,7
2,0.25,46.25,x,7,1.6,47.6,x,1,4,6
3,0.5,48.5,t1,8,1.815,49.815,x,2,3,5
4,0.75,50.75,t2,1,-0.005,49.995,x,3,2,4
1,0.0,52.0,t1,5,1.215,53.215,x,4,1,3
2,0.25,54.25,t2,4,0.8,54.8,x,5,8,2
7,1.5,57.5,t1,7,1.545,57.545,t1,6,7,1
7,1.5,59.5,c,8,1.915,59.915,t2,7,6,8
2,0.25,60.25,x,2,0.245,60.245,x,8,5,7
5,1.0,63.0,x,8,1.75,63.75,x,1,4,6
7,1.5,65.5,x,5,1.13,65.13,t2,2,3,5
5,1.0,67.0,x,7,1.445,67.445,x,3,2,4
3,0.5,68.5,t2,4,0.82,68.82,c,4,1,3
6,1.25,71.25,x,8,1.89,71.89,t1,5,8,2
4,0.75,72.75,x,1,0.1,72.1,t2,6,7,1
6,1.25,75.25,t1,7,1.43,75.43,c,7,6,8
7,1.5,77.5,t2,7,1.4,77.4,t2,8,5,7
4,0.75,78.75,t1,6,1.41,79.41,t2,1,4,6
4,0.75,80.75,x,6,1.295,81.295,x,2,3,5
3,0.5,82.5,c,8,1.85,83.85,x,3,2,4
4,0.75,84.75,c,2,0.38,84.38,x,4,1,3
3,0.5,86.5,x,2,0.195,86.195,t2,5,8,2
8,1.75,89.75,x,6,1.4,89.4,c,6,7,1
2,0.25,90.25,x,6,1.465,91.465,t1,7,6,8
2,0.25,92.25,x,5,1.07,93.07,t1,8,5,7
5,1.0,95.0,x,1,0.11,94.11,c,1,4,6
2,0.25,96.25,c,6,1.28,97.28,x,2,3,5
2,0.25,98.25,t1,1,0.08,98.08,x,3,2,4
7,1.5,101.5,x,8,1.9,101.9,x,4,1,3
3,0.5,102.5,x,3,0.685,102.685,x,5,8,2
6,1.25,105.25,c,2,0.45,104.45,x,6,7,1
3,0.5,106.5,x,4,0.78,106.78,x,7,6,8
5,1.0,109.0,t1,1,0.08,108.08,x,8,5,7
6,1.25,111.25,t2,7,1.6,111.6,x,1,4,6
5,1.0,113.0,t2,2,0.36,112.36,c,2,3,5
7,1.5,115.5,x,5,1.16,115.16,x,3,2,4
8,1.75,117.75,x,3,0.685,116.685,t2,4,1,3
4,0.75,118.75,x,4,0.8,118.8,x,5,8,2
1,0.0,120.0,t2,3,0.675,120.675,x,6,7,1
8,1.75,123.75,t2,5,1.16,123.16,x,7,6,8
4,0.75,124.75,x,6,1.355,125.355,x,8,5,7
7,1.5,127.5,x,4,0.79,126.79,t1,1,4,6
