nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
1,0.0,0.0,x,6,1.28,1.28,x,2,3,5
5,1.0,3.0,x,5,0.925,2.925,x,3,2,4
6,1.25,5.25,x,8,1.9,5.9,x,4,1,3
1,0.0,6.0,x,4,0.975,6.975,x,5,8,2
2,0.25,8.25,x,6,1.37,9.370000000000001,c,6,7,1
7,1.5,11.5,c,7,1.43,11.43,c,7,6,8
8,1.75,13.75,c,7,1.4,13.4,t2,8,5,7
6,1.25,15.25,t2,5,1.105,15.105,x,1,4,6
4,0.75,16.75,x,3,0.735,16.735,t1,2,3,5
7,1.5,19.5,x,7,1.56,19.56,x,3,2,4
1,0.0,20.0,t1,2,0.38,20.38,x,4,1,3
8,1.75,23.75,t1,5,0.94,22.94,c,5,8,2
1,0.0,24.0,t2,5,1.11,25.11,x,6,7,1
8,1.75,27.75,t2,1,-0.075,25.925,x,7,6,8
7,1.5,29.5,t2,4,0.9,28.9,x,8,5,7
4,0.75,30.75,t1,7,1.41,31.41,x,1,4,6
4,0.75,32.75,x,1,0.0,32.0,x,2,3,5
3,0.5,34.5,c,8,1.845,35.845,x,3,2,4
2,0.25,36.25,x,3,0.65,36.65,t2,4,1,3
7,1.5,39.5,x,3,0.685,38.685,x,5,8,2
8,1.75,41.75,x,7,1.58,41.58,t1,6,7,1
1,0.0,42.0,x,4,0.78,42.78,x,7,6,8
5,1.0,45.0,t1,8,1.775,45.775,c,8,5,7
3,0.5,46.5,x,3,0.645,46.645,x,1,4,6
3,0.5,48.5,t1,2,0.36,48.36,c,2,3,5
8,1.75,51.75,x,2,0.325,50.325,t1,3,2,4
3,0.5,52.5,t2,1,0.015,52.015,t1,4,1,3
6,1.25,55.25,x,7,1.38,55.38,x,5,8,2
2,0.25,56.25,x,4,1.01,57.01,x,6,7,1
6,1.25,59.25,t1,8,1.915,59.915,t2,7,6,8
6,1.25,61.25,x,1,0.125,60.125,x,8,5,7
1,0.0,62.0,c,1,0.11,62.11,c,1,4,6
5,1.0,65.0,t2,8,1.855,65.855,x,2,3,5
6,1.25,67.25,x,3,0.415,66.415,c,3,2,4
4,0.75,68.75,c,6,1.425,69.425,x,4,1,3
3,0.5,70.5,x,2,0.415,70.415,t2,5,8,2
6,1.25,73.25,c,3,0.665,72.665,x,6,7,1
2,0.25,74.25,x,2,0.48,74.48,x,7,6,8
3,0.5,76.5,x,2,0.36,76.36,x,8,5,7
5,1.0,79.0,x,4,0.76,78.76,t1,1,4,6
4,0.75,80.75,x,6,1.295,81.295,x,2,3,5
2,0.25,82.25,t1,7,1.56,83.56,x,3,2,4
5,1.0,85.0,x,8,1.82,85.82,x,4,1,3
4,0.75,86.75,x,6,1.27,87.27,x,5,8,2
5,1.0,89.0,x,2,0.3,88.3,x,6,7,1
1,0.0,90.0,x,6,1.465,91.465,t1,7,6,8
4,0.75,92.75,x,2,0.245,92.245,x,8,5,7
5,1.0,95.0,x,7,1.41,95.41,x,1,4,6
2,0.25,96.25,c,8,1.855,97.855,x,2,3,5
8,1.75,99.75,x,4,0.745,98.745,t2,3,2,4
7,1.5,101.5,x,6,1.425,101.425,x,4,1,3
2,0.25,102.25,t2,1,0.07,102.07,x,5,8,2
7,1.5,105.5,t1,4,0.795,104.795,x,6,7,1
1,0.0,106.0,x,5,1.095,107.095,x,7,6,8
6,1.25,109.25,x,5,1.02,109.02,t1,8,5,7
8,1.75,111.75,x,6,1.41,111.41,t2,1,4,6
7,1.5,113.5,x,5,1.185,113.185,t2,2,3,5
4,0.75,114.75,t2,5,1.16,115.16,x,3,2,4
7,1.5,117.5,x,4,0.89,116.89,c,4,1,3
5,1.0,119.0,c,8,1.775,119.775,t1,5,8,2
2,0.25,120.25,x,1,0.08,120.08,t2,6,7,1
3,0.5,122.5,x,1,-0.075,121.925,x,7,6,8
3,0.5,124.5,x,3,0.545,124.545,x,8,5,7
8,1.75,127.75,x,3,0.435,126.435,x,1,4,6
