nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
1,0.0,0.0,x,7,1.56,1.56,x,2,3,5
6,1.25,3.25,x,1,0.08,2.08,x,3,2,4
8,1.75,5.75,x,5,1.045,5.045,x,4,1,3
2,0.25,6.25,t2,1,0.07,6.07,x,5,8,2
8,1.75,9.75,x,6,1.37,9.370000000000001,c,6,7,1
2,0.25,10.25,x,1,0.11,10.11,x,7,6,8
1,0.0,12.0,x,6,1.23,13.23,x,8,5,7
6,1.25,15.25,t2,8,1.935,15.935,x,1,4,6
3,0.5,16.5,t1,7,1.515,17.515,x,2,3,5
2,0.25,18.25,t1,4,0.89,18.89,t2,3,2,4
2,0.25,20.25,x,4,0.89,20.89,c,4,1,3
1,0.0,22.0,x,2,0.195,22.195,t2,5,8,2
3,0.5,24.5,x,4,1.01,25.01,x,6,7,1
4,0.75,26.75,x,3,0.6,26.6,x,7,6,8
3,0.5,28.5,x,6,1.355,29.355,x,8,5,7
7,1.5,31.5,x,1,0.11,30.11,c,1,4,6
1,0.0,32.0,x,6,1.28,33.28,x,2,3,5
3,0.5,34.5,c,8,1.845,35.845,x,3,2,4
1,0.0,36.0,t1,5,1.045,37.045,x,4,1,3
5,1.0,39.0,c,3,0.685,38.685,x,5,8,2
1,0.0,40.0,t2,5,1.195,41.195,x,6,7,1
3,0.5,42.5,x,7,1.43,43.43,c,7,6,8
4,0.75,44.75,x,3,0.56,44.56,x,8,5,7
1,0.0,46.0,c,2,0.48,46.48,x,1,4,6
5,1.0,49.0,t2,3,0.735,48.735,t1,2,3,5
7,1.5,51.5,x,7,1.56,51.56,x,3,2,4
3,0.5,52.5,t2,1,0.015,52.015,t1,4,1,3
3,0.5,54.5,x,5,0.94,54.94,c,5,8,2
8,1.75,57.75,x,7,1.545,57.545,t1,6,7,1
7,1.5,59.5,c,2,0.235,58.235,x,7,6,8
4,0.75,60.75,x,5,1.07,61.07,t1,8,5,7
5,1.0,63.0,x,2,0.235,62.235,x,1,4,6
4,0.75,64.75,x,4,0.855,64.855,x,2,3,5
7,1.5,67.5,x,8,1.845,67.845,x,3,2,4
5,1.0,69.0,x,7,1.705,69.705,x,4,1,3
4,0.75,70.75,x,4,0.975,70.975,x,5,8,2
7,1.5,73.5,t1,2,0.45,72.45,x,6,7,1
2,0.25,74.25,x,6,1.2,75.2,t1,7,6,8
7,1.5,77.5,t2,8,1.775,77.775,c,8,5,7
5,1.0,79.0,x,4,0.76,78.76,t1,1,4,6
2,0.25,80.25,c,1,0.055,80.055,x,2,3,5
4,0.75,82.75,t2,3,0.705,82.705,c,3,2,4
2,0.25,84.25,x,3,0.685,84.685,t2,4,1,3
7,1.5,87.5,x,7,1.38,87.38,x,5,8,2
6,1.25,89.25,c,3,0.675,88.675,x,6,7,1
1,0.0,90.0,x,8,1.915,91.915,t2,7,6,8
6,1.25,93.25,x,4,0.9,92.9,x,8,5,7
4,0.75,94.75,t1,2,0.235,94.235,x,1,4,6
6,1.25,97.25,x,2,0.3,96.3,c,2,3,5
6,1.25,99.25,x,2,0.29,98.29,t1,3,2,4
4,0.75,100.75,c,5,1.045,101.045,x,4,1,3
3,0.5,102.5,x,6,1.42,103.42,x,5,8,2
2,0.25,104.25,x,3,0.665,104.665,x,6,7,1
8,1.75,107.75,t2,4,0.78,106.78,x,7,6,8
8,1.75,109.75,c,6,1.23,109.23,x,8,5,7
5,1.0,111.0,x,8,1.935,111.935,x,1,4,6
7,1.5,113.5,x,5,1.185,113.185,t2,2,3,5
6,1.25,115.25,x,8,1.85,115.85,x,3,2,4
8,1.75,117.75,x,5,1.215,117.215,x,4,1,3
8,1.75,119.75,t1,8,1.775,119.775,t1,5,8,2
8,1.75,121.75,x,1,0.08,120.08,t2,6,7,1
6,1.25,123.25,t1,1,-0.075,121.925,x,7,6,8
5,1.0,125.0,t1,7,1.65,125.65,t2,8,5,7
5,1.0,127.0,x,6,1.2,127.2,t2,1,4,6
