nhp_beats_const,nhp_onsets_const,nhp_onsets_abs_const,nhp_beat_type,nhnp_beats_const,nhnp_onsets_const,nhnp_onsets_abs_const,nhnp_beat_type,c_beat,t1_beat,t2_beat
1,0.0,0.0,x,6,1.28,1.28,x,2,3,5
7,1.5,3.5,x,5,0.925,2.925,x,3,2,4
5,1.0,5.0,x,4,0.82,4.82,c,4,1,3
3,0.5,6.5,x,4,0.975,6.975,x,5,8,2
6,1.25,9.25,c,8,1.89,9.89,x,6,7,1
2,0.25,10.25,x,2,0.48,10.48,x,7,6,8
7,1.5,13.5,t2,3,0.56,12.56,x,8,5,7
1,0.0,14.0,c,5,1.105,15.105,x,1,4,6
2,0.25,16.25,c,4,0.91,16.91,x,2,3,5
3,0.5,18.5,c,7,1.56,19.56,x,3,2,4
4,0.75,20.75,c,5,1.215,21.215,x,4,1,3
1,0.0,22.0,x,5,0.94,22.94,c,5,8,2
2,0.25,24.25,x,6,1.4,25.4,c,6,7,1
1,0.0,26.0,x,1,-0.075,25.925,x,7,6,8
3,0.5,28.5,x,8,1.835,29.835,c,8,5,7
8,1.75,31.75,x,3,0.435,30.435,x,1,4,6
4,0.75,32.75,x,3,0.53,32.53,t1,2,3,5
6,1.25,35.25,x,6,1.215,35.215,x,3,2,4
1,0.0,36.0,t1,8,1.9,37.9,x,4,1,3
1,0.0,38.0,x,3,0.685,38.685,x,5,8,2
5,1.0,41.0,x,1,0.1,40.1,t2,6,7,1
7,1.5,43.5,c,4,0.78,42.78,x,7,6,8
3,0.5,44.5,x,7,1.4,45.4,t2,8,5,7
6,1.25,47.25,t2,4,0.76,46.76,t1,1,4,6
3,0.5,48.5,t1,1,0.055,48.055,x,2,3,5
2,0.25,50.25,t1,3,0.705,50.705,c,3,2,4
3,0.5,52.5,t2,7,1.505,53.505,x,4,1,3
2,0.25,54.25,t2,6,1.27,55.27,x,5,8,2
7,1.5,57.5,t1,8,1.7,57.7,x,6,7,1
6,1.25,59.25,t1,1,-0.075,57.925,x,7,6,8
5,1.0,61.0,t1,2,0.245,60.245,x,8,5,7
4,0.75,62.75,t1,7,1.41,63.41,x,1,4,6
1,0.0,64.0,x,1,0.0,64.0,x,2,3,5
4,0.75,66.75,t2,8,1.845,67.845,x,3,2,4
7,1.5,69.5,x,1,0.18,68.18,t1,4,1,3
3,0.5,70.5,x,1,0.07,70.07,x,5,8,2
8,1.75,73.75,x,7,1.58,73.58,t1,6,7,1
4,0.75,74.75,x,2,0.48,74.48,x,7,6,8
6,1.25,77.25,x,3,0.56,76.56,x,8,5,7
7,1.5,79.5,x,5,1.105,79.105,x,1,4,6
6,1.25,81.25,x,2,0.36,80.36,c,2,3,5
6,1.25,83.25,x,2,0.325,82.325,t1,3,2,4
8,1.75,85.75,x,6,1.345,85.345,x,4,1,3
8,1.75,87.75,t1,8,1.775,87.775,t1,5,8,2
1,0.0,88.0,t2,4,1.01,89.01,x,6,7,1
5,1.0,91.0,x,8,1.915,91.915,t2,7,6,8
4,0.75,92.75,x,2,0.245,92.245,x,8,5,7
8,1.75,95.75,x,1,0.11,94.11,c,1,4,6
7,1.5,97.5,x,5,1.13,97.13,t2,2,3,5
5,1.0,99.0,x,4,0.745,98.745,t2,3,2,4
2,0.25,100.25,x,3,0.65,100.65,t2,4,1,3
4,0.75,102.75,x,2,0.415,102.415,t2,5,8,2
8,1.75,105.75,x,3,0.665,104.665,x,6,7,1
3,0.5,106.5,x,7,1.43,107.43,c,7,6,8
2,0.25,108.25,x,2,0.36,108.36,x,8,5,7
2,0.25,110.25,x,7,1.6,111.6,x,1,4,6
5,1.0,113.0,t2,8,1.815,113.815,x,2,3,5
5,1.0,115.0,x,5,1.16,115.16,x,3,2,4
6,1.25,117.25,x,7,1.505,117.505,x,4,1,3
5,1.0,119.0,c,6,1.27,119.27,x,5,8,2
4,0.75,120.75,x,4,1.01,121.01,x,6,7,1
8,1.75,123.75,t2,6,1.465,123.465,t1,7,6,8
8,1.75,125.75,c,5,1.07,125.07,t1,8,5,7
7,1.5,127.5,x,6,1.2,127.2,t2,1,4,6
